name,n,n_start,n_end,pct_start,pct_end,mean_lat,mean_lon
2112 W PETERSON AVE,1587,769,818,48.45620667926906,51.54379332073094,41.99117583197374,-87.68359708720794
410,8,7,1,87.5,12.5,41.9,-87.69
63RD ST BEACH,1869,935,934,50.02675227394329,49.97324772605671,41.78091609917331,-87.57631993961117
900 W HARRISON ST,24387,12904,11483,52.913437487185796,47.086562512814204,41.87475563260729,-87.64981181916635
ABERDEEN ST & JACKSON BLVD,27309,14325,12984,52.455234538064374,47.544765461935626,41.87774037202461,-87.65479738476681
ABERDEEN ST & MONROE ST,19508,9915,9593,50.82530244002461,49.17469755997539,41.88042242216469,-87.65553484425998
ABERDEEN ST & RANDOLPH ST,22398,10961,11437,48.93740512545763,51.06259487454237,41.88412252216454,-87.65426960825842
ADA ST & 113TH ST,64,33,31,51.5625,48.4375,41.687564025073065,-87.65543935230056
ADA ST & WASHINGTON BLVD,13527,6727,6800,49.73016929104753,50.26983070895247,41.88283950426532,-87.66120092008619
ADLER PLANETARIUM,31575,16698,14877,52.88361045130641,47.11638954869359,41.86610181468198,-87.60728147457957
ALBANY AVE & 16TH ST,214,115,99,53.73831775700935,46.26168224299065,41.85945859755919,-87.70247489701246
ALBANY AVE & 26TH ST,451,216,235,47.893569844789354,52.106430155210646,41.84449742145984,-87.70192298253643
ALBANY AVE & BELMONT AVE,1217,665,552,54.64256368118324,45.35743631881676,41.93977143058833,-87.70675193199452
ALBANY AVE & BLOOMINGDALE AVE,10047,5313,4734,52.881457151388474,47.118542848611526,41.914018422637234,-87.70513327428937
ALBANY AVE & DOUGLAS BLVD,148,80,68,54.054054054054056,45.945945945945944,41.86274536842117,-87.70259559068919
ALBANY AVE & MONTROSE AVE,4263,2071,2192,48.580811634998824,51.419188365001176,41.961038346929314,-87.7058560540771
ALTGELD GARDENS,107,61,46,57.00934579439252,42.99065420560748,41.65676483212605,-87.59880819688846
ARCHER (DAMEN) AVE & 37TH ST,1294,635,659,49.07264296754251,50.92735703245749,41.82671354280938,-87.68314756637815
ARCHER AVE & 43RD ST,187,107,80,57.219251336898395,42.780748663101605,41.817660009082,-87.70124929087343
ARTESIAN AVE & 55TH ST,268,168,100,62.6865671641791,37.3134328358209,41.791632600414175,-87.68829908832463
ARTESIAN AVE & 71ST ST,7,3,4,42.857142857142854,57.142857142857146,41.764345,-87.684417
ARTESIAN AVE & HUBBARD ST,8819,4941,3878,56.02676040367388,43.97323959632612,41.88953162720927,-87.68818368030841
ARTESIAN AVE & MARQUETTE RD,11,7,4,63.63636363636363,36.36363636363637,41.77205750009091,-87.68463506321211
ASHLAND AVE & 13TH ST,7494,3511,3983,46.85081398452095,53.14918601547905,41.8652308196922,-87.66651382669652
ASHLAND AVE & 50TH ST,637,322,315,50.54945054945055,49.45054945054945,41.803016896316066,-87.66469740071743
ASHLAND AVE & 63RD ST,238,126,112,52.94117647058823,47.05882352941177,41.779369759817925,-87.66486131453642
ASHLAND AVE & 66TH ST,119,59,60,49.57983193277311,50.42016806722689,41.77407465397759,-87.6637976772493
ASHLAND AVE & 74TH ST,129,78,51,60.46511627906977,39.53488372093023,41.759222384918914,-87.66347634935522
ASHLAND AVE & 78TH ST,198,95,103,47.97979797979798,52.02020202020202,41.75221263478539,-87.66373669092614
ASHLAND AVE & ARCHER AVE,3575,1838,1737,51.41258741258741,48.58741258741259,41.839189014507284,-87.66561143901535
ASHLAND AVE & AUGUSTA BLVD,13983,7149,6834,51.1263677322463,48.8736322677537,41.89963392265475,-87.66785592726038
ASHLAND AVE & BELLE PLAINE AVE,6548,3301,3247,50.41233964569334,49.58766035430666,41.95606793025616,-87.66884339201589
ASHLAND AVE & BLACKHAWK ST,17530,8598,8932,49.04734740444952,50.95265259555048,41.90705980074061,-87.66724221213327
ASHLAND AVE & CHICAGO AVE,12924,6343,6581,49.079232435778394,50.920767564221606,41.89593496596647,-87.66772524158866
ASHLAND AVE & DIVISION ST,43720,21791,21929,49.84217749313815,50.15782250686185,41.903414099642994,-87.66777951257531
ASHLAND AVE & GARFIELD BLVD,211,112,99,53.08056872037915,46.91943127962085,41.79285130191311,-87.66443316286414
ASHLAND AVE & GRACE ST,14899,7608,7291,51.06382978723404,48.93617021276596,41.950680195421086,-87.66869505873011
ASHLAND AVE & GRAND AVE,10678,5442,5236,50.964600112380595,49.035399887619405,41.89107301916446,-87.66662385716795
ASHLAND AVE & LAKE ST,11148,6169,4979,55.33728022963761,44.66271977036239,41.88592330305701,-87.66717050321034
ASHLAND AVE & MCDOWELL AVE,669,336,333,50.224215246636774,49.775784753363226,41.808869633747385,-87.6645385754574
ASHLAND AVE & PERSHING RD,606,311,295,51.320132013201324,48.679867986798676,41.82346157130033,-87.66557922626623
ASHLAND AVE & WELLINGTON AVE,15037,7332,7705,48.75972600917736,51.24027399082264,41.936083111113035,-87.66982291160186
ASHLAND AVE & WRIGHTWOOD AVE,10945,5305,5640,48.46962083142988,51.53037916857012,41.92882651418565,-87.6685190872583
AUGUSTA BLVD & LARAMIE AVE,71,42,29,59.15492957746479,40.84507042253521,41.8988594961784,-87.75618500947418
AUSTIN BLVD & CHICAGO AVE,405,194,211,47.901234567901234,52.098765432098766,41.894876715852675,-87.77466840275638
AUSTIN BLVD & LAKE ST,868,427,441,49.193548387096776,50.806451612903224,41.88794052042945,-87.77432976463065
AUSTIN BLVD & MADISON ST,685,362,323,52.846715328467155,47.153284671532845,41.880284755332355,-87.77446077997615
AVENUE L & 114TH ST,18,16,2,88.88888888888889,11.11111111111111,41.68803913692592,-87.53656746229629
AVENUE O & 118TH ST,150,67,83,44.666666666666664,55.333333333333336,41.68100603766166,-87.53794650391133
AVENUE O & 134TH ST,213,123,90,57.74647887323944,42.25352112676056,41.65184243373111,-87.54016203736941
